Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,Incident Type
271363,"December 29, 2014",Louisiana,New Orleans,Poydras and Bolivar,0,4,View Incident View Source,mass-shootings
269679,"December 27, 2014",California,Los Angeles,8800 block of South Figueroa Street,1,3,View Incident View Source,mass-shootings
270036,"December 27, 2014",California,Sacramento,4000 block of May Street,0,4,View Incident View Source,mass-shootings
269167,"December 26, 2014",Illinois,East St. Louis,2500 block of Summit Avenue,1,3,View Incident View Source,mass-shootings
268598,"December 24, 2014",Missouri,Saint Louis,18th and Pine,1,3,View Incident View Source,mass-shootings
267792,"December 23, 2014",Kentucky,Winchester,260 Oxford Drive,1,3,View Incident View Source,mass-shootings
268282,"December 22, 2014",Michigan,Detroit,Charlevoix and Philip,1,3,View Incident View Source,mass-shootings
282186,"December 22, 2014",New York,Webster,191 Lake Road,4,2,View Incident View Source,mass-shootings
267721,"December 22, 2014",Illinois,Chicago,5700 block of South Green Street,0,5,View Incident View Source,mass-shootings
266570,"December 21, 2014",Florida,Sarasota,4034 N Washington Blvd,2,2,View Incident View Source,mass-shootings
268910,"December 21, 2014",Mississippi,Waynesboro,Central Avenue,1,4,View Incident View Source,mass-shootings
266424,"December 21, 2014",Illinois,Calumet City,600 block of Escanba,1,8,View Incident View Source,mass-shootings
266407,"December 20, 2014",Illinois,Rockford,3200 block of Montrose Avenue,4,0,View Incident View Source,mass-shootings
264901,"December 16, 2014",New Jersey,Elizabeth,Anna Street,0,4,View Incident View Source,mass-shootings
263556,"December 15, 2014",Pennsylvania,Lansdale,100 block of West 5th St,7,0,View Incident View Source,mass-shootings
263376,"December 14, 2014",Florida,Miami,1311 Northwest 2nd Avenue,1,4,View Incident View Source,mass-shootings
263382,"December 13, 2014",Florida,Tampa,810 E. Skagway Ave.,0,5,View Incident View Source,mass-shootings
262202,"December 12, 2014",Oregon,Portland,717 North Killingsworth Court,0,4,View Incident View Source,mass-shootings
259935,"December 7, 2014",Indiana,South Bend,16000 block of Roosevelt Road,0,4,View Incident View Source,mass-shootings
227011,"December 2, 2014",Missouri,Saint Louis,6000 block of Virginia Avenue,1,5,View Incident View Source,mass-shootings
226983,"December 2, 2014",Virginia,Newport News,6128 Jefferson Ave,0,5,View Incident View Source,mass-shootings
226388,"November 30, 2014",New York,Brooklyn,375 Remsen Avenue,0,4,View Incident View Source,mass-shootings
226534,"November 30, 2014",Tennessee,Chattanooga,2412 East 13th Street,0,5,View Incident View Source,mass-shootings
225903,"November 29, 2014",Georgia,Atlanta,1600 block of Richmond Avenue,3,2,View Incident View Source,mass-shootings
226150,"November 29, 2014",New Jersey,Newark,348 S Orange Ave,1,3,View Incident View Source,mass-shootings
271363,"December 29, 2014",Louisiana,New Orleans,Poydras and Bolivar,0,4,View Incident View Source,mass-shootings
269679,"December 27, 2014",California,Los Angeles,8800 block of South Figueroa Street,1,3,View Incident View Source,mass-shootings
270036,"December 27, 2014",California,Sacramento,4000 block of May Street,0,4,View Incident View Source,mass-shootings
269167,"December 26, 2014",Illinois,East St. Louis,2500 block of Summit Avenue,1,3,View Incident View Source,mass-shootings
268598,"December 24, 2014",Missouri,Saint Louis,18th and Pine,1,3,View Incident View Source,mass-shootings
267792,"December 23, 2014",Kentucky,Winchester,260 Oxford Drive,1,3,View Incident View Source,mass-shootings
268282,"December 22, 2014",Michigan,Detroit,Charlevoix and Philip,1,3,View Incident View Source,mass-shootings
282186,"December 22, 2014",New York,Webster,191 Lake Road,4,2,View Incident View Source,mass-shootings
267721,"December 22, 2014",Illinois,Chicago,5700 block of South Green Street,0,5,View Incident View Source,mass-shootings
266570,"December 21, 2014",Florida,Sarasota,4034 N Washington Blvd,2,2,View Incident View Source,mass-shootings
268910,"December 21, 2014",Mississippi,Waynesboro,Central Avenue,1,4,View Incident View Source,mass-shootings
266424,"December 21, 2014",Illinois,Calumet City,600 block of Escanba,1,8,View Incident View Source,mass-shootings
266407,"December 20, 2014",Illinois,Rockford,3200 block of Montrose Avenue,4,0,View Incident View Source,mass-shootings
264901,"December 16, 2014",New Jersey,Elizabeth,Anna Street,0,4,View Incident View Source,mass-shootings
263556,"December 15, 2014",Pennsylvania,Lansdale,100 block of West 5th St,7,0,View Incident View Source,mass-shootings
263376,"December 14, 2014",Florida,Miami,1311 Northwest 2nd Avenue,1,4,View Incident View Source,mass-shootings
263382,"December 13, 2014",Florida,Tampa,810 E. Skagway Ave.,0,5,View Incident View Source,mass-shootings
262202,"December 12, 2014",Oregon,Portland,717 North Killingsworth Court,0,4,View Incident View Source,mass-shootings
259935,"December 7, 2014",Indiana,South Bend,16000 block of Roosevelt Road,0,4,View Incident View Source,mass-shootings
227011,"December 2, 2014",Missouri,Saint Louis,6000 block of Virginia Avenue,1,5,View Incident View Source,mass-shootings
226983,"December 2, 2014",Virginia,Newport News,6128 Jefferson Ave,0,5,View Incident View Source,mass-shootings
226388,"November 30, 2014",New York,Brooklyn,375 Remsen Avenue,0,4,View Incident View Source,mass-shootings
226534,"November 30, 2014",Tennessee,Chattanooga,2412 East 13th Street,0,5,View Incident View Source,mass-shootings
225903,"November 29, 2014",Georgia,Atlanta,1600 block of Richmond Avenue,3,2,View Incident View Source,mass-shootings
226150,"November 29, 2014",New Jersey,Newark,348 S Orange Ave,1,3,View Incident View Source,mass-shootings
271363,"December 29, 2014",Louisiana,New Orleans,Poydras and Bolivar,0,4,View Incident View Source,mass-shootings
269679,"December 27, 2014",California,Los Angeles,8800 block of South Figueroa Street,1,3,View Incident View Source,mass-shootings
270036,"December 27, 2014",California,Sacramento,4000 block of May Street,0,4,View Incident View Source,mass-shootings
269167,"December 26, 2014",Illinois,East St. Louis,2500 block of Summit Avenue,1,3,View Incident View Source,mass-shootings
268598,"December 24, 2014",Missouri,Saint Louis,18th and Pine,1,3,View Incident View Source,mass-shootings
267792,"December 23, 2014",Kentucky,Winchester,260 Oxford Drive,1,3,View Incident View Source,mass-shootings
268282,"December 22, 2014",Michigan,Detroit,Charlevoix and Philip,1,3,View Incident View Source,mass-shootings
282186,"December 22, 2014",New York,Webster,191 Lake Road,4,2,View Incident View Source,mass-shootings
267721,"December 22, 2014",Illinois,Chicago,5700 block of South Green Street,0,5,View Incident View Source,mass-shootings
266570,"December 21, 2014",Florida,Sarasota,4034 N Washington Blvd,2,2,View Incident View Source,mass-shootings
268910,"December 21, 2014",Mississippi,Waynesboro,Central Avenue,1,4,View Incident View Source,mass-shootings
266424,"December 21, 2014",Illinois,Calumet City,600 block of Escanba,1,8,View Incident View Source,mass-shootings
266407,"December 20, 2014",Illinois,Rockford,3200 block of Montrose Avenue,4,0,View Incident View Source,mass-shootings
264901,"December 16, 2014",New Jersey,Elizabeth,Anna Street,0,4,View Incident View Source,mass-shootings
263556,"December 15, 2014",Pennsylvania,Lansdale,100 block of West 5th St,7,0,View Incident View Source,mass-shootings
