Incident ID,Stolen,Type,index
268282, Unknown, Handgun,0.0
282186, Unknown, 38 Spl,0.0
266570, Unknown, Unknown,0.0
266407, Unknown, Unknown,0.0
264901, Unknown, Handgun,0.0
263556, Unknown, 40 SW,0.0
262202, Unknown, Unknown,0.0
259935, Unknown, Unknown,0.0
472268, Unknown, Unknown,0.0
469468, Unknown, Handgun,0.0
469614, Unknown, Unknown,0.0
464665, Unknown, Handgun,0.0
465117, Unknown, 380 Auto,0.0
456893, Not-stolen, 9mm,0.0
455394, Unknown, Unknown,0.0
454059, Unknown, 7.62 [AK-47],0.0
454788, Unknown, Unknown,0.0
740447, Unknown, Unknown,0.0
738749, Unknown, Unknown,0.0
738041, Unknown, Unknown,0.0
738576, Unknown, Unknown,0.0
736690, Unknown, Unknown,0.0
734157, Unknown, Unknown,0.0
735947, Unknown, Unknown,0.0
733599, Unknown, Handgun,0.0
732927, Unknown, Handgun,0.0
733176, Unknown, Unknown,0.0
732263, Unknown, Handgun,0.0
732574, Unknown, Unknown,0.0
727759, Unknown, Unknown,0.0
728286, Unknown, Unknown,0.0
727555, Unknown, Unknown,0.0
727544, Unknown, Unknown,0.0
724667, Unknown, Unknown,0.0
723649, Unknown, Unknown,0.0
723643, Unknown, Unknown,0.0
723292, Unknown, Unknown,0.0
725338, Unknown, Unknown,0.0
725323, Unknown, Unknown,0.0
722452, Unknown, Unknown,0.0
719128, Unknown, Unknown,0.0
717873, Unknown, Rifle,0.0
1017372, Unknown, Unknown,0.0
1017422, Unknown, Unknown,0.0
1018118, Unknown, 7.62 [AK-47],0.0
1015666, Unknown, Unknown,0.0
1015336, Unknown, Unknown,0.0
1013983, Unknown, Unknown,0.0
1014052, Unknown, Handgun,0.0
1014971, Unknown, Unknown,0.0
1013377, Unknown, Unknown,0.0
1011953, Unknown, Unknown,0.0
1012704, Unknown, Unknown,0.0
1009629, Unknown, Unknown,0.0
1008310, Unknown, Rifle,0.0
1007054, Unknown, Unknown,0.0
1006150, Unknown, Unknown,0.0
1006446, Unknown, Unknown,0.0
1004454, Unknown, Unknown,0.0
1002514, Unknown, Unknown,0.0
1001566, Unknown, Unknown,0.0
1000479, Unknown, Unknown,0.0
999969, Unknown, Unknown,0.0
998843, Unknown, Unknown,0.0
994323, Unknown, Unknown,0.0
995015, Unknown, Unknown,0.0
991017, Unknown, Unknown,0.0
1289686, Unknown, Unknown,0.0
1288376, Unknown, Unknown,0.0
1287286, Unknown, Unknown,0.0
1284586, Unknown, Unknown,0.0
1283229, Unknown, Unknown,0.0
1282704, Unknown, Unknown,0.0
1279617, Unknown, Handgun,0.0
1277327, Unknown, Unknown,0.0
1277411, Unknown, Unknown,0.0
1276091, Unknown, Unknown,0.0
1276298, Unknown, Unknown,0.0
1272855, Unknown, Unknown,0.0
1273161, Unknown, Unknown,0.0
1272106, Unknown, Unknown,0.0
1267682, Unknown, Unknown,0.0
1266937, Unknown, Unknown,0.0
1262814, Unknown, Unknown,0.0
1263332, Unknown, Unknown,0.0
1263086, Unknown, Unknown,0.0
1262013, Unknown, Unknown,0.0
1261351, Unknown, Unknown,0.0
1260525, Unknown, Unknown,0.0
1258777, Unknown, Unknown,0.0
1258804, Unknown, Unknown,0.0
1258009, Unknown, Unknown,0.0
1558067, Unknown, Unknown,0.0
1556633, Unknown, Unknown,0.0
1556984, Unknown, Unknown,0.0
1557006, Unknown, Unknown,0.0
1556002, Unknown, Unknown,0.0
1555879, Unknown, Unknown,0.0
1554807, Unknown, Unknown,0.0
1555135, Unknown, Unknown,0.0
1554446, Unknown, Unknown,0.0
1552068, Unknown, Unknown,0.0
1551531, Unknown, Handgun,0.0
1551162, Unknown, Unknown,0.0
1550546, Unknown, Handgun,0.0
1548689, Unknown, 45 Auto,0.0
1547021, Unknown, Unknown,0.0
1546102, Unknown, Unknown,0.0
1546038, Unknown, Unknown,0.0
1546155, Unknown, Unknown,0.0
1545955, Unknown, Unknown,0.0
1546508, Unknown, Unknown,0.0
1545027, Unknown, Unknown,0.0
1543835, Unknown, Unknown,0.0
1541774, Unknown, Unknown,0.0
1540863, Unknown, Unknown,0.0
1540841, Unknown, 22 LR,0.0
1555887, Unknown, Unknown,0.0
1556439, Unknown, Unknown,0.0
1554251, Unknown, Handgun,0.0
1553904, Unknown, Unknown,0.0
1550546, Unknown, Handgun,0.0
1551098, Unknown, 40 SW,0.0
1550254, Unknown, Unknown,0.0
1550099, Unknown, Unknown,0.0
1550315, Unknown, 9mm,0.0
1546480, Unknown, Handgun,0.0
