 Congressional District, State House District, State Senate District,ATF/LE Confiscation/Raid/Arrest,Accidental Shooting,Accidental Shooting - Death,Accidental Shooting - Injury,Accidental Shooting at a Business,Accidental/Negligent Discharge,Armed robbery with injury/death and/or evidence of DGU found,"Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)",Attempted Murder/Suicide (one variable unsuccessful),BB/Pellet/Replica gun,Bar/club incident - in or around establishment,Brandishing/flourishing/open carry/lost/found,Car-jacking,Child Involved Incident,Child injured (not child shooter),Child injured by child,Child injured self,Child killed (not child shooter),Child killed by child,Child killed self,Child picked up & fired gun,Cleaning gun,Concealed Carry License - Perpetrator,Concealed Carry License - Victim,Congressional District,Criminal act with stolen gun,Defensive Use,"Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator",Defensive Use - Good Samaritan/Third Party,"Defensive Use - Shots fired, no injury/death",Defensive Use - Stand Your Ground/Castle Doctrine established,Defensive Use - Victim stops crime,Defensive Use - WITHOUT a gun,Domestic Violence,"Drive-by (car to street, car to car)",Drug involvement,Gang involvement,Ghost gun,"Gun at school, no death/injury - elementary/secondary school",Gun range/gun shop/gun show shooting,Gun shop robbery or burglary,Gun(s) stolen from owner,Guns stolen from law enforcement,Hate crime,Home Invasion,Home Invasion - Resident injured,Home Invasion - Resident killed,Home Invasion - subject/suspect/perpetrator injured,Home Invasion - subject/suspect/perpetrator killed,House party / Block Party / Park Party,Hunting accident,Incident ID,Kidnapping/abductions/hostage,LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,Latitude,Longitude,"Mass Murder (4+ deceased victims excluding the subject/suspect/perpetrator , one location)","Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","Mistaken ID (thought it was an intruder/threat, was friend/family)",Murder/Suicide,Non-Shooting Incident,Officer Involved Incident,Officer Involved Incident - Weapon involved but no shots fired,Officer Involved Shooting - Accidental discharge - no injury required,Officer Involved Shooting - Bystander killed,Officer Involved Shooting - Bystander shot,Officer Involved Shooting - K9/Mounted injured,Officer Involved Shooting - Officer killed,Officer Involved Shooting - Officer shot,"Officer Involved Shooting - Shots fired, no injury",Officer Involved Shooting - subject/suspect/perpetrator killed,Officer Involved Shooting - subject/suspect/perpetrator shot,Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff,Officer Involved Shooting - subject/suspect/perpetrator suicide by cop,Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff,Playing with gun,Police Targeted,Possession (gun(s) found during commission of other crimes),Possession of gun by felon or prohibited person,Road rage,School Incident,School Shooting - elementary/secondary school,School Shooting - university/college,Self-Inflicted (not suicide or suicide attempt - NO PERP),Sex crime involving firearm,Shootout (where VENN diagram of shooters and victims overlap),"Shot - Dead (murder, accidental, suicide)",Shot - Wounded/Injured,"Spree Shooting (multiple victims, multiple locations)",State House District,State Senate District,Stolen/Illegally owned gun{s} recovered during arrest/warrant,Stray bullet,Suicide - Attempt,Suicide^,Terrorism Involvement,Thought gun was unloaded,Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator ),Unlawful purchase/sale,Workplace shooting (disgruntled employee)
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,271363.0,,, 29.9542,-90.084,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 93, 5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,269679.0,,, 33.9574,-118.28299999999999,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 64, 30,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,270036.0,,, 38.6405,-121.443,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 7, 6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,269167.0,,, 38.6196,-90.1254,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 114, 57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,268598.0,,, 38.6307,-90.2059,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 79, 5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,267792.0,,, 38.0032,-84.21,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,268282.0,,, 42.3836,-82.9486,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,, 3, 1,,,,,,,,,
,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,282186.0,,, 43.2367,-77.5261,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,, 135, 54,,,,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,267721.0,,, 41.7905,-87.6466,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,, 6, 3,,,,,,,,,
,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,266570.0,,, 27.3688,-82.5302,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 70, 23,,,,,,,,,
,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,268910.0,,, 31.6782,-88.6584,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,, 86, 43,,,,,,,,,
